,Origin,Destination,Time (min),Summary,Directions
20,Techspace,TZOM,27.316666666666666,U8,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 1 station.Get off at U Kottbusser Tor.Head east on Kottbusser Tor. Go for 13 m.Walk right around the roundabout and turn at the 1st street Skalitzer Straße. Go for 57 m.Turn left onto Admiralstraße. Go for 185 m.Walk left around the roundabout and turn at the 2nd street Admiralstraße. Go for 219 m.Turn slightly left onto Admiralbrücke. Go for 59 m.Continue straight onto Böckhstraße. Go for 54 m.Continue straight ahead. Go for 168 m.Turn slightly right onto Dieffenbachstraße. Go for 76 m.Arrive at Dieffenbachstraße.
21,Techspace,Pecados,21.833333333333332,,Head northeast on Lobeckstraße. Go for 72 m.Continue straight onto Oranienstraße. Go for 25 m.Turn left onto Oranienstraße. Go for 70 m.Turn right onto Oranienstraße. Go for 24 m.Continue straight onto Alexandrinenstraße. Go for 38 m.Continue straight onto Platz. Go for 24 m.Head northwest on Alexandrinenstraße. Go for 446 m.Turn right onto Beuthstraße. Go for 230 m.Turn right onto Axel-Springer-Straße. Go for 153 m.Turn left onto Niederwallstraße. Go for 69 m.Turn left onto Kronenstraße. Go for 118 m.Arrive at Kronenstraße. Your destination is on the right.
22,Techspace,The Oscar Wilde Irish Pub,21.016666666666666,,Head northeast on Lobeckstraße. Go for 72 m.Continue straight onto Oranienstraße. Go for 25 m.Turn left onto Oranienstraße. Go for 70 m.Turn right onto Oranienstraße. Go for 24 m.Continue straight onto Alexandrinenstraße. Go for 38 m.Continue straight onto Platz. Go for 24 m.Head northwest on Alexandrinenstraße. Go for 655 m.Turn right onto Axel-Springer-Straße. Go for 54 m.Turn left onto Krausenstraße. Go for 37 m.Turn slightly right onto Marion-Gräfin-Dönhoff-Platz. Go for 79 m.Turn left onto Marion-Gräfin-Dönhoff-Platz. Go for 64 m.Turn left onto Marion-Gräfin-Dönhoff-Platz. Go for 43 m.Turn right onto Jerusalemer Straße. Go for 33 m.Arrive at Jerusalemer Straße. Your destination is on the right.
23,Techspace,Maroush,13.483333333333333,M29,"Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the stop U Moritzplatz and take the bus M29 toward U Hermannplatz/Urbanstr.. Follow for 2 stops.Get off at Berlin, Adalbertstr./Oranienstr..Head west on Oranienstraße. Go for 1 m.Turn left onto Adalbertstraße. Go for 41 m.Arrive at Adalbertstraße. Your destination is on the left."
24,Techspace,PHO,13.783333333333333,M29,"Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the stop U Moritzplatz and take the bus M29 toward U Hermannplatz/Urbanstr.. Follow for 2 stops.Get off at Berlin, Adalbertstr./Oranienstr..Head west on Oranienstraße. Go for 1 m.Turn left onto Adalbertstraße. Go for 59 m.Arrive at Adalbertstraße. Your destination is on the left."
25,Techspace,Kreuzberger Weltlaterne,18.983333333333334,U8,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 1 station.Get off at U Kottbusser Tor.Head east on Kottbusser Tor. Go for 13 m.Walk right around the roundabout and turn at the 1st street Skalitzer Straße. Go for 57 m.Turn left onto Admiralstraße. Go for 185 m.Walk left around the roundabout and turn at the 1st street Kohlfurter Straße. Go for 81 m.Arrive at Kohlfurter Straße.
26,Techspace,Ron Telesky Canadian Pizza,25.316666666666666,U8,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 2 stations.Get off at U Schönleinstr..Head west on Kottbusser Damm. Go for 35 m.Turn right onto Böckhstraße. Go for 35 m.Turn left onto Schönleinstraße. Go for 132 m.Turn right onto Schönleinstraße. Go for 57 m.Turn right onto Dieffenbachstraße. Go for 380 m.Arrive at Dieffenbachstraße. Your destination is on the right.
27,Techspace,Langano,20.233333333333334,U8,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 1 station.Get off at U Kottbusser Tor.Head east on Kottbusser Tor. Go for 13 m.Walk right around the roundabout and turn at the 1st street Kottbusser Straße. Go for 323 m.Turn right onto Kohlfurter Straße. Go for 91 m.Arrive at Kohlfurter Straße.
28,Techspace,Melro,19.9,U8,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 2 stations.Get off at U Schönleinstr..Head west on Kottbusser Damm. Go for 35 m.Turn right onto Böckhstraße. Go for 273 m.Turn right onto Graefestraße. Go for 24 m.Arrive at Graefestraße.
29,Techspace,Babylon Grill,18.266666666666666,U8,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 1 station.Get off at U Kottbusser Tor.Head east on Kottbusser Tor. Go for 13 m.Walk right around the roundabout and turn at the 2nd street Skalitzer Straße. Go for 86 m.Turn right onto Reichenberger Straße. Go for 192 m.Turn right onto Mariannenstraße. Go for 19 m.Arrive at Mariannenstraße. Your destination is on the right.
30,Techspace,Tak Tak Polish Deli,20.566666666666666,U8,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 2 stations.Get off at U Schönleinstr..Head west on Kottbusser Damm. Go for 35 m.Turn right onto Böckhstraße. Go for 273 m.Turn left onto Graefestraße. Go for 62 m.Arrive at Graefestraße. Your destination is on the left.
31,Techspace,Ela Ent,21.3,U8,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 2 stations.Get off at U Schönleinstr..Head west on Kottbusser Damm. Go for 35 m.Turn right onto Böckhstraße. Go for 273 m.Turn left onto Graefestraße. Go for 106 m.Arrive at Graefestraße. Your destination is on the left.
32,Techspace,KIRSONS Alexa,19.083333333333332,U8,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Wittenau. Follow for 2 stations.Get off at S+U Jannowitzbrücke.Head west on Stralauer Straße. Go for 23 m.Turn left onto Stralauer Straße. Go for 49 m.Turn right onto Stadtbahnbogen. Go for 284 m.Arrive at Stadtbahnbogen. Your destination is on the right.
33,Techspace,Schwarze Heidi,16.55,M29,"Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the stop U Moritzplatz and take the bus M29 toward U Hermannplatz/Urbanstr.. Follow for 3 stops.Get off at Berlin, Heinrichplatz.Head east on Oranienstraße. Go for 13 m.Turn left onto Mariannenstraße. Go for 117 m.Turn right onto Naunynstraße. Go for 16 m.Arrive at Naunynstraße. Your destination is on the right."
34,Techspace,Tunnbrödsrulle - Swedish Hot Dog Wrap,20.2,M29,"Head northeast on Lobeckstraße. Go for 72 m.Turn left onto Oranienstraße. Go for 196 m.Go to the stop Berlin, Alexandrinenstr. and take the bus M29 toward Berlin, Roseneck. Follow for 3 stops.Get off at Berlin, Charlottenstr..Head north on Rudi-Dutschke-Straße. Go for 79 m.Turn right onto Charlottenstraße. Go for 209 m.Turn left onto Schützenstraße. Go for 96 m.Arrive at Schützenstraße. Your destination is on the left."
35,Techspace,Hellogoodpie,24.333333333333332,"U8, U7",Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 3 stations.Get off at U Hermannplatz.Take the rail U7 toward S+U Rathaus Spandau. Follow for 2 stations.Get off at U Gneisenaustr..Head east on Gneisenaustraße. Go for 68 m.Turn right onto Mittenwalder Straße. Go for 61 m.Arrive at Mittenwalder Straße. Your destination is on the right.
36,Techspace,Tierra Colombiana,24.983333333333334,"U8, U7",Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 3 stations.Get off at U Hermannplatz.Take the rail U7 toward S+U Rathaus Spandau. Follow for 2 stations.Get off at U Gneisenaustr..Head east on Gneisenaustraße. Go for 68 m.Turn right onto Mittenwalder Straße. Go for 100 m.Arrive at Mittenwalder Straße.
37,Techspace,Bagel Company,27.6,"U8, M8","Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Wittenau. Follow for 4 stations.Get off at U Weinmeisterstr..Walk to U Weinmeisterstr..Take the rail M8 toward Berlin, Lüneburger Str.. Follow for 1 station.Get off at S Hackescher Markt.Head south on Henriette-Herz-Platz. Go for 79 m.Turn right onto Litfaß-Platz. Go for 92 m.Arrive at Litfaß-Platz. Your destination is on the right."
38,Techspace,Mabuhay Mini,23.183333333333334,"M29, U6","Head northeast on Lobeckstraße. Go for 72 m.Turn left onto Oranienstraße. Go for 196 m.Go to the stop Berlin, Alexandrinenstr. and take the bus M29 toward Berlin, Roseneck. Follow for 4 stops.Get off at U Kochstr./Checkpoint Charlie.Walk to U Kochstr./Checkpoint Charlie.Take the rail U6 toward U Alt-Tegel. Follow for 1 station.Get off at U Stadtmitte.Head north on Friedrichstraße. Go for 29 m.Turn left onto Kronenstraße. Go for 54 m.Arrive at Kronenstraße. Your destination is on the left."
39,Techspace,Tibet-Haus,24.733333333333334,"U8, U7",Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 3 stations.Get off at U Hermannplatz.Take the rail U7 toward S+U Rathaus Spandau. Follow for 2 stations.Get off at U Gneisenaustr..Head west on Gneisenaustraße. Go for 70 m.Turn left onto Zossener Straße. Go for 81 m.Arrive at Zossener Straße.
40,Techspace,Finnish Pulled Pork,24.616666666666667,"U8, U7",Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 3 stations.Get off at U Hermannplatz.Take the rail U7 toward S+U Rathaus Spandau. Follow for 2 stations.Get off at U Gneisenaustr..Head west on Gneisenaustraße. Go for 70 m.Turn left onto Zossener Straße. Go for 74 m.Arrive at Zossener Straße. Your destination is on the right.
41,Techspace,"A-Thai, Viêt Street Kitchen",19.316666666666666,M29,"Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the stop U Moritzplatz and take the bus M29 toward U Hermannplatz/Urbanstr.. Follow for 3 stops.Get off at Berlin, Heinrichplatz.Head east on Oranienstraße. Go for 13 m.Turn left onto Mariannenstraße. Go for 117 m.Turn right onto Naunynstraße. Go for 182 m.Arrive at Naunynstraße. Your destination is on the right."
42,Techspace,Theepan,28.183333333333334,"U8, U7",Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 3 stations.Get off at U Hermannplatz.Take the rail U7 toward S+U Rathaus Spandau. Follow for 2 stations.Get off at U Gneisenaustr..Head east on Gneisenaustraße. Go for 68 m.Turn right onto Mittenwalder Straße. Go for 189 m.Continue straight onto Marheinekeplatz. Go for 49 m.Turn right onto Bergmannstraße. Go for 44 m.Arrive at Bergmannstraße. Your destination is on the right.
43,Techspace,Steakhaus Asador,20.866666666666667,M29,"Head northeast on Lobeckstraße. Go for 72 m.Turn left onto Oranienstraße. Go for 196 m.Go to the stop Berlin, Alexandrinenstr. and take the bus M29 toward Berlin, Roseneck. Follow for 5 stops.Get off at Berlin, Wilhelmstr./Kochstr..Head west on Wilhelmstraße. Go for 279 m.Arrive at Wilhelmstraße."
44,Techspace,Popołudniowa Kawa Z Misiem,21.25,U8,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Wittenau. Follow for 4 stations.Get off at U Weinmeisterstr..Head northwest on Weinmeisterstraße. Go for 137 m.Turn left onto Rosenthaler Straße. Go for 123 m.Arrive at Rosenthaler Straße. Your destination is on the left.
45,Techspace,Heiße Fatira,22.383333333333333,U8,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 3 stations.Get off at U Hermannplatz.Head southeast on Hermannplatz. Go for 130 m.Turn left onto Urbanstraße. Go for 175 m.Arrive at Urbanstraße. Your destination is on the right.
46,Techspace,El Chilenito,31.9,"M29, U6","Head northeast on Lobeckstraße. Go for 72 m.Turn left onto Oranienstraße. Go for 196 m.Go to the stop Berlin, Alexandrinenstr. and take the bus M29 toward Berlin, Roseneck. Follow for 4 stops.Get off at U Kochstr./Checkpoint Charlie.Walk to U Kochstr./Checkpoint Charlie.Take the rail U6 toward U Alt-Mariendorf. Follow for 2 stations.Get off at U Mehringdamm.Head east on Mehringdamm. Go for 409 m.Turn left onto Bergmannstraße. Go for 189 m.Arrive at Bergmannstraße. Your destination is on the left."
47,Techspace,Mama Shabz,18.983333333333334,M29,"Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the stop U Moritzplatz and take the bus M29 toward U Hermannplatz/Urbanstr.. Follow for 6 stops.Get off at Berlin, Ohlauer Str..Head southwest on Reichenberger Straße. Go for 82 m.Arrive at Reichenberger Straße. Your destination is on the left."
48,Techspace,Kin-Za,31.083333333333332,U8,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Wittenau. Follow for 4 stations.Get off at U Weinmeisterstr..Head northwest on Weinmeisterstraße. Go for 137 m.Turn left onto Rosenthaler Straße. Go for 122 m.Turn right onto Sophienstraße. Go for 178 m.Turn left. Go for 155 m.Turn right onto Große Hamburger Straße. Go for 14 m.Turn left onto Krausnickstraße. Go for 213 m.Arrive at Krausnickstraße. Your destination is on the right.
49,Techspace,Rissani,19.2,M29,"Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the stop U Moritzplatz and take the bus M29 toward U Hermannplatz/Urbanstr.. Follow for 5 stops.Get off at Berlin, Spreewaldplatz.Head northwest on Wiener Straße. Go for 51 m.Turn right onto Spreewaldplatz. Go for 104 m.Arrive at Spreewaldplatz."
50,Techspace,chili chutney,25.133333333333333,M29,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the stop U Moritzplatz and take the bus M29 toward U Hermannplatz/Urbanstr.. Follow for 4 stops.Get off at U Görlitzer Bahnhof.Head north on Skalitzer Straße. Go for 24 m.Turn left. Go for 20 m.Turn right onto Skalitzer Straße. Go for 40 m.Turn slightly left onto Skalitzer Straße. Go for 143 m.Turn right. Go for 106 m.Turn slightly left onto Eisenbahnstraße. Go for 139 m.Arrive at Eisenbahnstraße. Your destination is on the left.
51,Techspace,Rosa Caleta,24.7,M29,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the stop U Moritzplatz and take the bus M29 toward U Hermannplatz/Urbanstr.. Follow for 4 stops.Get off at U Görlitzer Bahnhof.Head north on Skalitzer Straße. Go for 24 m.Turn left. Go for 20 m.Turn right onto Skalitzer Straße. Go for 40 m.Turn slightly left onto Skalitzer Straße. Go for 143 m.Turn right. Go for 106 m.Turn slightly left onto Eisenbahnstraße. Go for 58 m.Turn right onto Muskauer Straße. Go for 45 m.Arrive at Muskauer Straße. Your destination is on the left.
52,Techspace,Zoe's Ghana Kitchen,26.933333333333334,U8,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 3 stations.Get off at U Hermannplatz.Head southeast on Hermannplatz. Go for 82 m.Turn right onto Hasenheide. Go for 96 m.Turn left onto Wissmannstraße. Go for 368 m.Turn right onto Wissmannstraße. Go for 15 m.Arrive at Wissmannstraße. Your destination is on the right.
53,Techspace,Sofra Bäckerei & Konditorei,22.483333333333334,U8,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 3 stations.Get off at U Hermannplatz.Head southeast on Hermannplatz. Go for 95 m.Turn left onto Karl-Marx-Straße. Go for 182 m.Turn right onto Karl-Marx-Straße. Go for 24 m.Arrive at Karl-Marx-Straße. Your destination is on the left.
54,Techspace,Senegambia,21.766666666666666,M29,"Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the stop U Moritzplatz and take the bus M29 toward U Hermannplatz/Urbanstr.. Follow for 6 stops.Get off at Berlin, Ohlauer Str..Head southwest on Reichenberger Straße. Go for 249 m.Arrive at Reichenberger Straße. Your destination is on the left."
55,Techspace,Qba Restaurant,28.766666666666666,"M29, U6","Head northeast on Lobeckstraße. Go for 72 m.Turn left onto Oranienstraße. Go for 196 m.Go to the stop Berlin, Alexandrinenstr. and take the bus M29 toward Berlin, Roseneck. Follow for 4 stops.Get off at U Kochstr./Checkpoint Charlie.Walk to U Kochstr./Checkpoint Charlie.Take the rail U6 toward U Alt-Tegel. Follow for 4 stations.Get off at U Oranienburger Tor.Head north on Friedrichstraße. Go for 129 m.Turn right onto Oranienburger Straße. Go for 12 m.Turn slightly right onto Oranienburger Straße. Go for 93 m.Turn left onto Oranienburger Straße. Go for 56 m.Arrive at Oranienburger Straße. Your destination is on the left."
